Nationality,Country
Afghan,Afghanistan
Albanian,Albania
Algerian,Algeria
American,United States
Angolan,Angola
Argentinean,Argentina
Armenian,Armenia
Australian,Australia
Austrian,Austria
Azerbaijani,Azerbaijan
Bahamian,Bahamas
Bahraini,Bahrain
Bangladeshi,Bangladesh
Barbadian,Barbados
Batswana,Botswana
Belarusian,Belarus
Belgian,Belgium
Beninese,Benin
Bolivian,Bolivia
Bosnian,Bosnia Herzegovina
Brazilian,Brazil
British,United Kingdom
Bruneian,Brunei
Bulgarian,Bulgaria
Burkinabe,Burkina
Burmese,"Myanmar, {Burma}"
Burundian,Burundi
Cambodian,Cambodia
Cameroonian,Cameroon
Canadian,Canada
Cape Verdean,Cape Verde
Central African,Central African Rep
Chadian,Chad
Chilean,Chile
Chinese,China
Colombian,Colombia
Comoran,Comoros
Costa Rican,Costa Rica
Croatian,Croatia
Cuban,Cuba
Cypriot,Cyprus
Czech,Czech Republic
Danish,Denmark
Djibouti,Djibouti
Dominican,Dominican Republic
Dutch,Netherlands
Dutchman,Netherlands
Dutchwoman,Netherlands
East Timorese,East Timor
Ecuadorean,Ecuador
Egyptian,Egypt
Emirian,United Arab Emirates
Equatorial Guinean,Equatorial Guinea
Eritrean,Eritrea
Estonian,Estonia
Ethiopian,Ethiopia
Fijian,Fiji
Filipino,Philippines
Finnish,Finland
French,France
Gabonese,Gabon
Gambian,Gambia
Georgian,Georgia
German,Germany
Ghanaian,Ghana
Greek,Greece
Guatemalan,Guatemala
Guinea-Bissauan,Guinea-Bissau
Guinean,Guinea
Guyanese,Guyana
Haitian,Haiti
Honduran,Honduras
Hungarian,Hungary
I-Kiribati,Gibraltar
Icelander,Iceland
Indian,India
Indonesian,Indonesia
Iranian,Iran
Iraqi,Iraq
Irish,Ireland {Republic}
Israeli,Israel
Italian,Italy
Ivorian,Ivory Coast
Jamaican,Jamaica
Japanese,Japan
Jordanian,Jordan
Kazakhstani,Kazakhstan
Kenyan,Kenya
Kuwaiti,Kuwait
Kyrgyz,Kyrgyzstan
Latvian,Latvia
Lebanese,Lebanon
Liberian,Liberia
Libyan,Libya
Lithuanian,Lithuania
Luxembourger,Luxembourg
Macedonian,Macedonia
Malawian,Malawi
Malaysian,Malaysia
Maldivan,Maldives
Malian,Mali
Maltese,Malta
Mauritanian,Mauritania
Mauritian,Mauritius
Mexican,Mexico
Moldovan,Moldova
Mongolian,Mongolia
Moroccan,Morocco
Mozambican,Mozambique
Namibian,Namibia
Nepalese,Nepal
Netherlander,Netherlands
New Zealander,New Zealand
Nicaraguan,Nicaragua
Nigerian,Nigeria
Nigerien,Niger
North Korean,Korea North
Norwegian,Norway
Omani,Oman
Pakistani,Pakistan
Panamanian,Panama
Papua New Guinean,Papua New Guinea
Paraguayan,Paraguay
Peruvian,Peru
Polish,Poland
Portuguese,Portugal
Qatari,Qatar
Romanian,Romania
Russian,Russian Federation
Rwandan,Rwanda
Salvadoran,El Salvador
Saudi,Saudi Arabia
Scottish,United Kingdom
Senegalese,Senegal
Serbian,Serbia
Sierra Leonean,Sierra Leone
Singaporean,Singapore
Slovakian,Slovakia
Slovenian,Slovenia
Somali,Somalia
South African,South Africa
South Korean,Korea South
Spanish,Spain
Sri Lankan,Sri Lanka
Sudanese,Sudan
Surinamer,Suriname
Swazi,Swaziland
Swedish,Sweden
Swiss,Switzerland
Syrian,Syria
Taiwanese,Taiwan
Tajik,Tajikistan
Tanzanian,Tanzania
Thai,Thailand
Togolese,Togo
Trinidadian or Tobagonian,Trinidad & Tobago
Tunisian,Tunisia
Turkish,Turkey
Ugandan,Uganda
Ukrainian,Ukraine
Uruguayan,Uruguay
Uzbekistani,Uzbekistan
Venezuelan,Venezuela
Vietnamese,Vietnam
Welsh,United Kingdom
Yemenite,Yemen
Zambian,Zambia
Zimbabwean,Zimbabwe
